,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet,username,name
62,938434481354141699,2022-09-28 06:56:30+00:00, ,1575016584732676097,de,0,0,0,0,Hootsuite Inc.,"Mit seiner 400 Jahre währenden Geschichte als Deutschlands erster künstlich angelegter Hafen lädt auch Vegesack am kommenden Freitag zum Mitfeiern ein.
https://t.co/s28l0JL6Nt
#Schiffahrtstag #Bundespräsident #Schiffsparade #Vegesack",Bremennewsde,Bremennews
63,433366431,2022-09-28 06:13:04+00:00, ,1575005654464745473,de,0,0,0,0,Twitter Web App,"#Wlazny, Präsidentschaftskanditat bei der #bpw22, hat sich im #ZIB2 Interview bei Armin #Wolf recht gut gehalten. #Bundespräsident wird er aber wohl nicht werden. #Austria",finden_wien,Finden Wien - Die Walzerstadt an der blauen Donau
64,1273993008585850882,2022-09-28 02:33:39+00:00, ,1574950434552565764,de,0,0,0,0,Twitter Web App,"mir würde der #Pogo als #Bundespräsident 10mal besser gefallen als die #GruenenInkompetenz.
@Lady_Desire_net https://t.co/FZ9CSOxHYi",Lady_Desire_net,Lady Desire® 🇦🇹 💋 🔝 💋 🇦🇹
65,1946244720,2022-09-28 01:09:52+00:00, ,1574929351509876736,de,0,0,0,1,Twitter Web App,"RT @MarkusMoser6: Ich bin ja auch für VdB, aber hat jetzt wirklich @ArminWolf alle Interviews gemacht nur das mit @vanderbellen nicht ?
Wir…",grafkaroly,Stefan Klemens
66,945180748994285570,2022-09-27 21:23:55+00:00, ,1574872488927961092,de,1,0,0,0,Twitter Web App,"@DieRaffa Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/AhoWXBbV6i",AdVerteisa,Ad Verteisa
67,945180748994285570,2022-09-27 21:16:38+00:00, ,1574870654217756691,de,1,0,0,0,Twitter Web App,"@philbrokes Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/eOe00uCOjf",AdVerteisa,Ad Verteisa
68,945180748994285570,2022-09-27 21:13:05+00:00, ,1574869762655526924,de,0,0,0,0,Twitter Web App,"@TMairhofer Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf 

https://t.co/5W3lI7mI44 https://t.co/U8mc9e5pRd",AdVerteisa,Ad Verteisa
69,945180748994285570,2022-09-27 21:10:27+00:00, ,1574869098009337876,de,0,0,0,0,Twitter Web App,"@RBiegen @marcopogo666 Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/H5hFZGsjQI",AdVerteisa,Ad Verteisa
70,945180748994285570,2022-09-27 21:05:23+00:00, ,1574867823461015574,de,1,0,0,0,Twitter Web App,"@laimer33 Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/0RuVwPutZA",AdVerteisa,Ad Verteisa
71,945180748994285570,2022-09-27 21:03:50+00:00, ,1574867433655078912,de,4,0,1,1,Twitter Web App,"@norbertdresche2 Es kann nur EINEN geben. 
❌Dr. Dominik Wlazny für 🇦🇹
@marcopogo666

#Bundespraesident #Wahl #BPW22 #Wlazny #Oesterreich
#ZIB2 mit @ArminWolf

https://t.co/5W3lI7mI44 https://t.co/hKevUMuSC9",AdVerteisa,Ad Verteisa
